Date,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,pH Water,Temp Water,Cond @ 25C
2020-01-10,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2020-01-10T09:38:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.45,NA,44870
2020-02-25,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2020-02-25T12:01:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.6,NA,40656
2020-03-18,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2020-03-18T11:57:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.63,NA,38052
2021-10-15,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2021-10-15T08:31:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.43,NA,41183
2021-11-18,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2021-11-18T12:05:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.74,NA,40625
2021-12-06,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2021-12-06T08:27:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.67,NA,41310
2022-01-18,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2022-01-18T08:36:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.61,NA,39550
2022-02-22,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2022-02-22T08:32:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.69,NA,38616
2022-03-17,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2022-03-17T10:07:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.83,NA,37440
2022-05-11,SO-E0007222,ALLENS HILL INVESTIGATION AT CLIFFE POOLS,572949,176722,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,WASTE SITE - INDUSTRIAL LANDFILL,2022-05-11T12:26:00Z,COMPLIANCE AUDIT (PERMIT),ESTUARINE WATER,8.66,NA,40922
