Date,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,pH Water,Temp Water,Cond @ 25C
2020-01-23,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2020-01-23T10:35:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,8.3,NA
2020-02-11,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2020-02-11T10:01:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,7,NA
2020-12-01,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2020-12-01T10:44:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,7.8,NA
2021-01-07,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2021-01-07T11:00:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,6.4,NA
2021-02-23,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2021-02-23T10:36:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,8.9,NA
2021-05-26,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2021-05-26T11:08:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,13.1,NA
2021-07-14,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2021-07-14T10:39:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,16.1,NA
2021-09-10,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2021-09-10T10:28:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,17.3,NA
2021-12-03,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2021-12-03T10:30:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,7.4,NA
2022-01-27,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2022-01-27T09:59:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,7.9,NA
2022-02-11,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2022-02-11T10:40:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,7.1,NA
2022-05-04,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2022-05-04T10:12:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,12.9,NA
2022-07-21,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2022-07-21T10:39:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,18.8,NA
2022-09-15,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2022-09-15T10:23:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,15.4,NA
2022-12-13,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2022-12-13T11:06:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,6,NA
2023-01-24,SO-Y0004369,RIVER MEDINA AT NEWPORT DOCKS,450200,89500,Southern,SOUTHERN - SOLENT AND SOUTH DOWNS,L&W EAST - SSD,OPEN,SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH,2023-01-24T10:20:00Z,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),ESTUARINE WATER,NA,7.1,NA
