Date,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,pH Water,Temp Water,Cond @ 25C
2020-01-09,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-01-09T10:50:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.32,NA,NA
2020-02-09,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-02-09T11:25:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.5,NA,NA
2020-03-23,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-03-23T09:51:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.84,NA,NA
2020-04-28,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-04-28T10:27:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.33,NA,NA
2020-05-22,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-05-22T11:27:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.49,NA,NA
2020-06-29,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-06-29T11:03:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.64,NA,NA
2020-08-25,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-08-25T09:19:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.5,NA,NA
2020-09-11,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-09-11T11:30:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.81,NA,NA
2020-10-13,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-10-13T13:23:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.37,NA,NA
2020-11-12,SO-E0001591,BATTLE SEWAGE TREATMENT WORKS FINAL EFFLUENT SAMPLED AT OUTFALL,575970,116160,Southern,SOUTHERN - KENT AND SOUTH LONDON,L&W KENT AND SOUTH LONDON (SO),OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2020-11-12T11:16:00Z,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7.43,NA,NA
