Date,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,pH Water,Temp Water,Cond @ 25C
2020-02-19,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2020-02-19T09:43:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.94,NA,NA
2021-04-29,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-04-29T11:16:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.17,NA,NA
2021-05-13,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-05-13T12:09:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.04,NA,NA
2021-06-24,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-06-24T12:55:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.91,NA,NA
2021-07-30,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-07-30T10:29:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.75,NA,NA
2021-08-17,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-08-17T12:14:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.91,NA,NA
2021-09-13,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-09-13T11:18:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.96,NA,NA
2021-10-01,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-10-01T11:35:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.89,NA,NA
2021-11-05,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-11-05T12:52:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8,NA,NA
2021-12-02,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2021-12-02T14:09:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.01,NA,NA
2022-01-06,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-01-06T11:07:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.09,NA,NA
