NOT_ID,POLL_TYPE,POLLUTANT
4988,Atmospheric Pollutants and Effects,Chemical Odour
4994,Atmospheric Pollutants and Effects,Chemical Odour
5000,Atmospheric Pollutants and Effects,Chemical Odour
5008,Atmospheric Pollutants and Effects,Chemical Odour
5049,Atmospheric Pollutants and Effects,Chemical Odour
4605,Sewage Materials,Crude Sewage
4912,Organic Chemicals/Products,Dyes and Inks
4382,Other Pollutant,Other
4977,Other Pollutant,Other
4926,Pollutant Not Identified,Not Identified
4207,Specific Waste Materials,Asbestos
4207,Specific Waste Materials,Metal Wastes
4207,Specific Waste Materials,Tyres
5190,Other Pollutant,Other
4817,Atmospheric Pollutants and Effects,Effects on Humans
4680,Atmospheric Pollutants and Effects,Effects on Humans
4660,Atmospheric Pollutants and Effects,Effects on Humans
4659,Atmospheric Pollutants and Effects,Effects on Humans
4658,Atmospheric Pollutants and Effects,Effects on Humans
4657,Atmospheric Pollutants and Effects,Effects on Humans
4656,Atmospheric Pollutants and Effects,Effects on Humans
4655,Atmospheric Pollutants and Effects,Effects on Humans
4654,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4653,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4652,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4651,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4648,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4647,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4646,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5253,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
5206,Oils and Fuel,Unidentified Oil
2598,Organic Chemicals/Products,Surfactants and Detergents
9414,Other Pollutant,Microbiological
9496,Organic Chemicals/Products,Hydrocarbons
6080,General Biodegradable Materials and Wastes,Algae
9785,Atmospheric Pollutants and Effects,Sulphide Odour
8672,Oils and Fuel,Diesel
4118,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4492,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4504,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9219,Oils and Fuel,Unidentified Oil
4520,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9708,Atmospheric Pollutants and Effects,Sulphide Odour
4553,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
4844,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
6105,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
8110,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9130,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
9545,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
12548,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
12542,Sewage Materials,Crude Sewage
11697,Atmospheric Pollutants and Effects,Landfill Odour
11837,Sewage Materials,Crude Sewage
4341,Atmospheric Pollutants and Effects,Landfill Odour
12546,Contaminated Water,Other Contaminated Water
16646,Contaminated Water,Urban Run-Off
14031,Oils and Fuel,Diesel
16687,Oils and Fuel,Gas and Fuel Oils
16445,Atmospheric Pollutants and Effects,Smoke
16203,Oils and Fuel,Gas and Fuel Oils
15767,Contaminated Water,Other Contaminated Water
16728,Pollutant Not Identified,Not Identified
16378,Sewage Materials,Storm Sewage
12155,Oils and Fuel,Mixed/Waste Oils
14371,Agricultural Materials and Wastes,Slurry and Dilute Slurry
3156,Sewage Materials,Crude Sewage
3360,Agricultural Materials and Wastes,Slurry and Dilute Slurry
4635,Atmospheric Pollutants and Effects,Chemical Odour
4183,Oils and Fuel,Gas and Fuel Oils
5618,Specific Waste Materials,Asbestos
4670,Atmospheric Pollutants and Effects,Chemical Odour
5562,Pollutant Not Identified,Not Identified
2424,Oils and Fuel,Insulating and Cable Oils
3218,Atmospheric Pollutants and Effects,Chemical Odour
5830,Agricultural Materials and Wastes,Carcasses
17754,Sewage Materials,Other Sewage Material
17767,Oils and Fuel,Gas and Fuel Oils
17374,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
17855,Contaminated Water,Suspended Solids
18105,Contaminated Water,Other Contaminated Water
17212,Agricultural Materials and Wastes,Slurry and Dilute Slurry
17722,Oils and Fuel,Mixed/Waste Oils
18597,Specific Waste Materials,Containers
18113,Oils and Fuel,Gas and Fuel Oils
18386,Agricultural Materials and Wastes,Silage Liquors
18502,Pollutant Not Identified,Not Identified
14969,Sewage Materials,Storm Sewage
18827,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18829,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
17941,Agricultural Materials and Wastes,Slurry and Dilute Slurry
16775,Oils and Fuel,Diesel
16772,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
16786,Sewage Materials,Grey Water
15639,Other Pollutant,Microbiological
17237,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
12185,Organic Chemicals/Products,Solvents
5928,Oils and Fuel,Gas and Fuel Oils
14557,Agricultural Materials and Wastes,Slurry and Dilute Slurry
13317,Sewage Materials,Crude Sewage
13732,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
13071,Sewage Materials,Crude Sewage
13595,Contaminated Water,Suspended Solids
14363,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
16832,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
17593,Oils and Fuel,Kerosene and Aviation Fuel
12225,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
9821,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18269,Atmospheric Pollutants and Effects,Dust
17928,Oils and Fuel,Diesel
18276,Oils and Fuel,Gas and Fuel Oils
17922,Other Pollutant,Microbiological
10872,Oils and Fuel,Diesel
17991,Organic Chemicals/Products,Paints and Varnishes
18047,Sewage Materials,Crude Sewage
17307,Sewage Materials,Crude Sewage
18464,Sewage Materials,Crude Sewage
19839,Sewage Materials,Crude Sewage
16256,Inert Materials and Wastes,Other Inert Material or Waste
20073,Other Pollutant,Microbiological
20539,Oils and Fuel,Gas and Fuel Oils
20445,Oils and Fuel,Diesel
20840,Sewage Materials,Sludge
19854,Atmospheric Pollutants and Effects,Chemical Odour
19683,Specific Waste Materials,Tyres
16404,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
21086,Pollutant Not Identified,Not Identified
16052,Atmospheric Pollutants and Effects,Smoke
16052,Contaminated Water,Firefighting Run-Off
19010,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18828,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18576,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
18515,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
14395,Contaminated Water,Urban Run-Off
18027,Inorganic Chemicals/Products,Acids
18571,Other Pollutant,Natural Ochre
19079,Sewage Materials,Crude Sewage
17482,Pollutant Not Identified,Not Identified
16540,Atmospheric Pollutants and Effects,Smoke
18933,Atmospheric Pollutants and Effects,Effects on Humans
19567,Atmospheric Pollutants and Effects,Dust
11838,General Biodegradable Materials and Wastes,Other Animal Matter
18416,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
20151,Agricultural Materials and Wastes,Solid Manure
20211,Organic Chemicals/Products,Other Organic Chemical or Product
14482,Sewage Materials,Grey Water
18387,Sewage Materials,Crude Sewage
22846,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
23058,Pollutant Not Identified,Not Identified
23318,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
23527,Oils and Fuel,Diesel
21800,Other Pollutant,Other
23127,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
23127,Specific Waste Materials,Tyres
23127,Specific Waste Materials,Other Specific Waste Material
23824,Oils and Fuel,Gas and Fuel Oils
21254,Oils and Fuel,Gas and Fuel Oils
20475,Pollutant Not Identified,Not Identified
17782,Pollutant Not Identified,Not Identified
15483,Oils and Fuel,Other Oil or Fuel
18974,Sewage Materials,Other Sewage Material
21437,General Biodegradable Materials and Wastes,Food and Drink
20469,Oils and Fuel,Kerosene and Aviation Fuel
21107,Atmospheric Pollutants and Effects,Effects on Humans
21299,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
10360,Organic Chemicals/Products,Hydrocarbons
18048,Atmospheric Pollutants and Effects,Fumes
